CODIGO,FECHAPEDIDO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,ORIGEN,TGL,PRODUCTO
E85769,2023-01-06,684635/23,33435,200,10,20.899808,417.99616,Compra menor,0-0-2,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13
E99807,2023-01-06,684626/23,178565.7,140,10,47.19,660.66,Compra menor,0-8--1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
E99808,2023-01-06,680847/23,178567.1,20,10,62.59,125.18,Compra menor,0-10-117,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-01-06,682260/23,178567.1,100,10,62.59,625.9,Compra menor,0-14-44,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E64543,2023-01-08,940197/23,403770,20,5,12.1,48.4,Compra menor,0-15-27,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
F43580,2023-01-08,939637/23,M8275051/5,5,5,412.5,412.5,Compra menor,0-11-168,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32
F43580,2023-01-08,938157/23,M8275051/5,10,5,412.5,825.0,Compra menor,0-7-85,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32
F43581,2023-01-08,939637/23,M8275052/5,5,5,440.0,440.0,Compra menor,0-11-168,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36
F50071,2023-01-08,939687/23,421554,5,5,114.95,114.95,Compra menor,0-9-74,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26
E64663,2023-01-08,941044/23,413568,200,100,527.9985,1055.997,Compra menor,0-0-2,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E64765,2023-01-08,938275/23,0037167,1120,560,104.412,208.824,Compra menor,0-7-3,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23
E67835,2023-01-08,940345/23,66974941,200,100,20.37037,40.74074,Compra menor,0-8--1,ALMACENABLE,APOSITO ABSORBENTE S/ ADHESIVO-25
E69682,2023-01-08,940353/23,166680.2,100,10,131.89,1318.9,Compra menor,0-8--1,ALMACENABLE,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1
E73753,2023-01-08,940222/23,MAP190,300,50,197.83335,1187.0001,Concurso,0-8--1,ALMACENABLE,APOSITO C/ CARBON Y PLATA-4
E99808,2023-01-08,940191/23,178567.1,100,10,62.59,625.9,Compra menor,0-15-16,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F44200,2023-01-08,939687/23,421551,5,1,145.2,726.0,Compra menor,0-9-74,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40
F46843,2023-01-08,939828/23,66802004,10,1,165.0,1650.0,Compra menor,0-9-74,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28
B41691,2023-01-09,1038940/23,400403,100,10,107.03,1070.3,Concurso,0-0-2,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16
F50071,2023-01-09,1038634/23,421554,20,5,114.95,459.8,Compra menor,0-11-168,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26
E64983,2023-01-09,1036294/23,157027.7,1280,160,245.52,1964.16,Compra menor,0-13-1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E65056,2023-01-09,1038950/23,33533,1260,3,0.989571,415.61982,Compra menor,0-0-2,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9
E65509,2023-01-09,1034956/23,161445.2,220,10,53.68,1180.96,Compra menor,0-8--1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3
E65894,2023-01-09,1038901/23,157028.4,380,10,34.98,1329.24,Compra menor,0-8--1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E67835,2023-01-09,1034952/23,66974941,200,100,20.37037,40.74074,Compra menor,0-8--1,ALMACENABLE,APOSITO ABSORBENTE S/ ADHESIVO-25
E69682,2023-01-09,1034956/23,166680.2,210,10,131.89,2769.69,Compra menor,0-8--1,ALMACENABLE,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1
E73753,2023-01-09,1038899/23,MAP190,400,50,197.83335,1582.6668,Concurso,0-8--1,ALMACENABLE,APOSITO C/ CARBON Y PLATA-4
E85758,2023-01-09,1038919/23,33436,360,10,27.280155,982.08558,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85758,2023-01-09,1034902/23,33436,580,10,27.280155,1582.24899,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99807,2023-01-09,1038941/23,178565.7,100,10,47.19,471.9,Compra menor,0-0-2,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
E99807,2023-01-09,1034956/23,178565.7,440,10,47.19,2076.36,Compra menor,0-8--1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
B40558,2023-02-02,129415/23,400505,10,1,13.189,131.89,Compra menor,0-18-62,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15
E64543,2023-02-02,129515/23,403770,30,5,12.1,72.6,Compra menor,0-3-186,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64764,2023-02-02,129530/23,37147,640,640,73.92,73.92,Compra menor,0-10-1,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22
E64765,2023-02-02,130773/23,0037167,560,560,97.944,97.944,Compra menor,0-10-1,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23
E64932,2023-02-02,129867/23,7311,80,40,30.822,61.644,Concurso,0-18-1,ALMACENABLE,HIDROGEL-37
E78950,2023-02-02,129414/23,423289,12,12,77.88,77.88,Compra menor,0-18-62,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E85758,2023-02-02,129367/23,33436,500,10,27.280155,1364.00775,Concurso,0-10-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85758,2023-02-02,129374/23,33436,40,10,27.280155,109.12062,Concurso,0-18-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99807,2023-02-02,129660/23,178565.7,140,10,47.19,660.66,Compra menor,0-10-1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
E99807,2023-02-02,129666/23,178565.7,80,10,47.19,377.52,Compra menor,0-18-1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
E99808,2023-02-02,129522/23,178567.1,20,10,62.59,125.18,Compra menor,0-4-187,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-02,129693/23,178567.1,20,10,62.59,125.18,Compra menor,0-4-129,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E64543,2023-02-03,255610/23,403770,35,5,12.1,84.7,Compra menor,0-15-16,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64543,2023-02-03,254827/23,403770,10,5,12.1,24.2,Compra menor,0-15-58,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64663,2023-02-03,256786/23,413568,200,100,527.9985,1055.997,Compra menor,0-0-2,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
E64911,2023-02-03,255366/23,20701,300,300,766.128,766.128,Concurso,0-0-2,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6
E78950,2023-02-03,255776/23,423289,12,12,77.88,77.88,Compra menor,0-12-82,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E78950,2023-02-03,255819/23,423289,12,12,77.88,77.88,Compra menor,0-12-143,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E85769,2023-02-03,255309/23,33435,240,240,501.59538,501.59538,Concurso,0-4-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13
F43325,2023-02-03,254482/23,409761,10,10,733.21,733.21,Compra menor,0-18-174,TRANSITO,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34
E64488,2023-02-05,533758/23,284300,390,30,198.002475,2574.032175,Concurso,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3
E64543,2023-02-05,534920/23,403770,20,5,12.1,48.4,Compra menor,0-14-42,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64544,2023-02-05,533591/23,420621,390,10,42.349958,1651.648362,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10
E65056,2023-02-05,535053/23,33533,231,3,0.989571,76.196967,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9
E65159,2023-02-05,531900/23,281 421,5000,1000,14.1,70.5,Compra menor,0-7-3,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19
E65159,2023-02-05,536091/23,281 421,2000,1000,14.1,28.2,Compra menor,0-0-2,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19
E78950,2023-02-05,530852/23,423289,24,12,77.88,155.76,Compra menor,0-12-72,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E78950,2023-02-05,535965/23,423289,12,12,77.88,77.88,Compra menor,0-12-154,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E78950,2023-02-05,535606/23,423289,12,12,77.88,77.88,Compra menor,0-12-141,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E85758,2023-02-05,533597/23,33436,440,10,27.280155,1200.32682,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99808,2023-02-05,535670/23,178567.1,100,10,62.59,625.9,Compra menor,0-14-49,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E78950,2023-02-06,689667/23,423289,12,12,77.88,77.88,Compra menor,0-18-109,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E78950,2023-02-06,689675/23,423289,12,12,77.88,77.88,Compra menor,0-18-62,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E99807,2023-02-06,690243/23,178565.7,130,10,47.19,613.47,Compra menor,0-8--1,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6
B40558,2023-02-08,941829/23,400505,7,1,9.88899,69.22293,Concurso,0-15-15,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15
E64543,2023-02-08,943028/23,403770,50,5,12.1,121.0,Compra menor,0-18-178,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E64663,2023-02-08,944098/23,413568,410,5,26.399925,2164.79385,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3
F43580,2023-02-08,944757/23,M8275051/5,20,5,412.5,1650.0,Compra menor,0-11-151,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32
E64544,2023-02-08,941612/23,420621,120,10,42.349958,508.199496,Compra menor,0-7-3,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10
E64764,2023-02-08,941642/23,37147,3200,640,78.0032,390.016,Compra menor,0-7-3,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22
E64983,2023-02-08,944410/23,157027.7,350,10,15.345,537.075,Compra menor,0-8--1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38
E65201,2023-02-08,944093/23,3760,120,10,12.87,154.44,Compra menor,0-8--1,ALMACENABLE,APOSITO DE ALGINATO C/ PLATA-6
E65894,2023-02-08,941673/23,157028.4,1000,10,34.98,3498.0,Compra menor,0-7-3,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E65894,2023-02-08,944410/23,157028.4,390,10,34.98,1364.22,Compra menor,0-8--1,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39
E78950,2023-02-08,943541/23,423289,12,12,77.88,77.88,Compra menor,0-12-154,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E85758,2023-02-08,944093/23,33436,460,10,27.280155,1254.88713,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E85769,2023-02-08,944093/23,33435,50,10,20.899808,104.49904,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13
E99808,2023-02-08,944576/23,178567.1,60,10,62.59,375.54,Compra menor,0-15-58,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-08,941836/23,178567.1,30,10,62.59,187.77,Compra menor,0-15-15,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-08,944106/23,178567.1,20,10,62.59,125.18,Compra menor,0-5-19,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-08,942083/23,178567.1,20,10,62.59,125.18,Compra menor,0-6-132,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F46846,2023-02-08,944770/23,66802003,2,1,154.0,308.0,Compra menor,0-11-171,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27
E64488,2023-02-10,1220286/23,284300,330,30,198.002475,2178.027225,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3
E64543,2023-02-10,1220373/23,403770,50,5,12.1,121.0,Compra menor,0-18-178,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E65486,2023-02-10,1220176/23,33110,310,10,4.6178,143.1518,Compra menor,0-8--1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-6
E78950,2023-02-10,1221507/23,423289,12,12,77.88,77.88,Compra menor,0-12-146,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E78950,2023-02-10,1221519/23,423289,12,12,77.88,77.88,Compra menor,0-12-135,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E85758,2023-02-10,1220176/23,33436,320,10,27.280155,872.96496,Compra menor,0-8--1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14
E99808,2023-02-10,1220962/23,178567.1,10,10,62.59,62.59,Compra menor,0-6-147,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-10,1221156/23,178567.1,100,10,62.59,625.9,Compra menor,0-14-44,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
E99808,2023-02-10,1221165/23,178567.1,100,10,62.59,625.9,Compra menor,0-14-49,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F43325,2023-02-10,1220374/23,409761,10,10,795.5275,795.5275,Compra menor,0-18-178,TRANSITO,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34
E64543,2023-02-11,1338021/23,403770,5,5,12.1,12.1,Compra menor,0-11-113,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E78950,2023-02-11,1341720/23,423289,12,12,77.88,77.88,Compra menor,0-12-143,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17
E99808,2023-02-11,1338561/23,178567.1,50,10,62.59,312.95,Compra menor,0-15-17,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3
F46846,2023-02-11,1342188/23,66802003,2,1,154.0,308.0,Compra menor,0-11-171,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27
C26183,2023-03-01,4510/23,1494.00,350,350,169.4,169.4,Compra menor,0-13-1,ALMACENABLE,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30
E64543,2023-03-01,3440/23,403770,30,5,12.1,72.6,Compra menor,0-3-186,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18
E65056,2023-03-01,4051/23,33533,1008,3,0.989571,332.495856,Concurso,0-0-2,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9
E65159,2023-03-01,3673/23,281 421,5000,1000,14.1,70.5,Compra menor,0-18-1,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19
E65486,2023-03-01,3177/23,33110,310,10,4.6178,143.1518,Concurso,0-10-1,ALMACENABLE,APOSITO DE HIDROCOLOIDE-6
E66071,2023-03-01,3206/23,420680,660,10,18.59,1226.94,Compra menor,0-10-1,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
E66071,2023-03-01,4498/23,420680,200,10,18.59,371.8,Compra menor,0-0-2,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12
F44200,2023-03-01,3945/23,421551,5,1,111.1022,555.511,Compra menor,0-9-74,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40
E64488,2023-03-02,131948/23,284300,60,30,198.002475,396.00495,Concurso,0-0-2,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3
E64488,2023-03-02,134148/23,284300,360,30,198.002475,2376.0297,Concurso,0-10-1,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3
